TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
3,70456,2022,10,2,640,5
8,7567,2022,10,4,640,5
9,79069,2022,10,3,640,5
10,31019,2022,10,3,640,3
15,43611,2022,10,2,640,3
18,43471,2022,10,4,640,5
22,76492,2022,9,2,640,4
23,20977,2022,10,4,640,5
28,18655,2022,9,2,640,3
29,62907,2022,9,2,640,5
31,86054,2022,9,2,640,5
33,41979,2022,9,2,640,5
39,38726,2022,9,4,640,3
43,67147,2022,8,2,640,4
44,2307,2022,9,2,640,4
45,3660,2022,9,2,640,5
46,50130,2022,9,4,640,3
54,30450,2022,8,2,640,4
56,82637,2022,7,3,640,4
61,33716,2022,7,5,640,5
64,46517,2022,8,3,640,1
66,50127,2022,8,2,640,5
67,61876,2022,8,2,640,5
68,16769,2022,6,2,640,5
69,9804,2022,7,2,640,4
72,44419,2022,7,2,640,5
73,84531,2022,7,2,640,5
75,83915,2022,7,2,640,5
76,62742,2022,7,2,640,4
77,47615,2022,7,2,640,5
78,85459,2022,7,3,640,5
80,71946,2022,7,4,640,3
82,54719,2022,7,4,640,5
87,16291,2022,7,3,640,4
93,18137,2022,6,2,640,1
95,37338,2022,6,3,640,5
97,18628,2022,6,3,640,4
103,47542,2022,6,5,640,3
105,71155,2022,6,4,640,5
106,73515,2022,6,2,640,5
111,1953,2022,5,4,640,4
112,31372,2022,5,2,640,4
114,35045,2022,5,2,640,5
116,79488,2022,4,3,640,2
117,14186,2022,4,3,640,4
123,78554,2021,10,2,640,5
124,30511,2021,11,4,640,5
127,50138,2021,7,4,640,5
132,83974,2020,10,5,640,5
133,40006,2021,5,5,640,5
136,50311,2021,1,2,640,4
138,56894,2021,1,2,640,5
141,36421,2020,12,4,640,5
143,62902,2020,1,3,640,5
144,61175,2020,12,2,640,5
145,61849,2019,11,2,640,4
150,51784,2019,10,2,640,5
158,61709,2019,12,2,640,5
168,64920,2020,3,2,640,4
170,27538,2020,4,4,640,5
171,27449,2019,7,3,640,4
172,64392,2020,3,2,640,5
174,79911,2019,11,2,640,5
176,55535,2020,3,2,640,5
181,51283,2020,3,2,640,4
183,73796,2020,3,4,640,4
185,21207,2020,3,4,640,3
187,23868,2020,3,4,640,5
190,13954,2019,8,3,640,3
192,55381,2019,6,4,640,2
194,71073,2020,3,2,640,5
195,113,2020,3,2,640,4
205,16816,2020,3,2,640,5
206,41624,2020,3,2,640,5
207,33038,2020,3,3,640,5
208,46031,2020,2,5,640,4
211,81844,2020,3,2,640,5
212,64368,2020,2,3,640,5
213,51849,2020,3,4,640,5
223,53252,2019,4,4,640,5
224,29563,2020,3,3,640,5
225,66839,2020,2,3,640,4
226,42947,2020,1,2,640,5
231,77269,2020,3,2,640,4
232,4371,2020,3,2,640,5
233,25561,2019,6,2,640,5
236,16514,2020,3,2,640,3
237,52730,2020,3,2,640,5
238,21256,2020,3,2,640,5
239,45191,2020,3,2,640,5
240,81154,2020,3,2,640,4
241,57365,2020,3,2,640,4
242,85847,2020,3,3,640,4
244,59810,2020,3,4,640,4
246,16482,2020,1,4,640,5
249,45653,2020,2,2,640,5
250,70967,2020,3,5,640,5
252,63138,2020,2,4,640,4
254,17811,2020,2,5,640,5
258,10370,2020,2,5,640,4
259,28567,2020,2,2,640,5
262,43435,2020,2,5,640,4
264,25621,2020,2,4,640,5
266,24948,2020,2,2,640,5
268,14459,2020,2,4,640,5
273,57716,2020,2,4,640,3
278,77961,2020,2,2,640,5
279,32533,2020,2,3,640,5
282,8481,2020,2,2,640,5
284,53690,2019,4,3,640,5
286,51055,2020,2,2,640,4
288,62791,2020,2,2,640,3
290,23746,2020,2,2,640,5
293,46065,2020,2,2,640,4
297,58995,2020,1,3,640,5
298,75223,2020,2,2,640,5
300,11099,2020,2,2,640,5
308,39393,2020,2,2,640,5
309,4453,2020,2,2,640,5
310,53132,2020,2,2,640,3
312,34227,2020,2,2,640,5
313,18600,2020,2,4,640,4
314,78886,2020,1,3,640,5
315,18325,2020,2,4,640,1
316,30475,2020,2,5,640,5
320,51292,2020,2,2,640,4
321,74902,2020,2,2,640,2
325,30233,2020,2,4,640,5
328,42707,2020,2,2,640,4
330,25682,2020,2,2,640,5
331,38154,2019,5,4,640,5
333,44234,2020,2,5,640,5
334,22217,2020,2,4,640,5
338,12892,2020,2,2,640,5
339,47829,2020,1,2,640,5
344,21300,2020,2,4,640,2
345,17884,2019,10,4,640,5
346,53500,2020,2,5,640,4
347,76106,2020,2,3,640,5
348,47053,2020,2,4,640,5
349,85394,2019,3,3,640,4
351,87911,2020,1,2,640,5
353,75196,2020,1,3,640,3
354,85613,2020,1,3,640,5
361,9756,2020,1,5,640,3
365,85188,2020,1,4,640,4
